prefix,lat,lon,dxcc,iso3,name
3U7Q,22.8,108.33,318,CHN,China
3U7Y,20.02,110.27,318,CHN,China
3U8A,30.63,104.03,318,CHN,China
3U8G,29.58,106.42,318,CHN,China
3U8M,26.53,106.67,318,CHN,China
3U8S,25.02,102.68,318,CHN,China
3U9A,34.25,109.0,318,CHN,China
3U9G,36.02,103.87,318,CHN,China
3U9M,38.5,106.25,318,CHN,China
3U9S,36.57,101.67,318,CHN,China
3V,35.4,9.32,474,TUN,Tunisia
3W,15.8,107.9,293,VNM,Viet Nam
3X,11.0,-10.68,107,GIN,Guinea
3Y,-77.5,-34.2,13,ATA,Antarctica
3Y0J,-54.42,3.38,24,BVT,Bouvet
3Y0X,-68.77,-90.58,199,NOR,Peter 1 I.
3Z,52.28,18.67,269,POL,Poland
3Z1,53.42,14.53,269,POL,Poland
3Z2,54.45,17.33,269,POL,Poland
3Z3,53.0,15.9,269,POL,Poland
3Z4,54.17,19.42,269,POL,Poland
3Z5,52.27,21.03,269,POL,Poland
3Z6,51.08,17.0,269,POL,Poland
3Z7,53.28,15.92,269,POL,Poland
3Z8,50.07,22.0,269,POL,Poland
3Z9,50.25,18.98,269,POL,Poland
4A,21.32,-100.23,50,MEX,Mexico
4A1,19.8,-99.67,50,MEX,Mexico
4A2,26.62,-105.08,50,MEX,Mexico
4A3,17.9,-94.15,50,MEX,Mexico
4A4,18.77,-110.97,204,MEX,Revillagigedo
4B1,19.8,-99.67,50,MEX,Mexico
4B2,26.62,-105.08,50,MEX,Mexico
4B3,17.9,-94.15,50,MEX,Mexico
4B4,18.77,-110.97,204,MEX,Revillagigedo
4C1,19.8,-99.67,50,MEX,Mexico
4C2,26.62,-105.08,50,MEX,Mexico
4C3,17.9,-94.15,50,MEX,Mexico
4C4,18.77,-110.97,204,MEX,Revillagigedo
4D,13.0,122.0,375,PHL,Philippines
4D1,14.58,121.0,375,PHL,Philippines
4D2,16.42,120.57,375,PHL,Philippines
4D3,15.47,120.57,375,PHL,Philippines
4D4,13.6,123.2,375,PHL,Philippines
